id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
281,7,SANTA CRUZ,71002,GENERAL SAAVEDRA,138,,15,,153
282,7,SANTA CRUZ,71003,MINEROS,267,1,6,1,275
283,7,SANTA CRUZ,71004,FERNANDEZ ALONSO,186,,2,,188
284,7,SANTA CRUZ,71005,SAN PEDRO,201,,2,,203
285,7,SANTA CRUZ,71101,CONCEPCION,456,10,12,,478
286,7,SANTA CRUZ,71102,SAN JAVIER(STC),351,9,10,,370
287,7,SANTA CRUZ,71103,SAN RAMON SCZ,268,2,,,270
288,7,SANTA CRUZ,71104,SAN JULIAN,987,12,24,,1023
289,7,SANTA CRUZ,71105,SAN ANTONIO DE LOMERIO,60,,42,1,103
290,7,SANTA CRUZ,71106,CUATRO CAÑADAS,223,1,5,1,230
291,7,SANTA CRUZ,71201,SAN MATIAS,220,3,14,1,238
292,7,SANTA CRUZ,71301,COMARAPA,514,3,10,,527
293,7,SANTA CRUZ,71302,SAIPINA,76,,1,,77
294,7,SANTA CRUZ,71401,PUERTO SUAREZ,567,16,8,,591
295,7,SANTA CRUZ,71402,PUERTO QUIJARRO,274,2,6,1,283
296,7,SANTA CRUZ,71403,CARMEN RIVERO TORREZ,56,,4,,60
297,7,SANTA CRUZ,71501,ASCENCION DE GUARAYOS,844,14,14,,872
298,7,SANTA CRUZ,71502,URUBICHA,147,1,3,,151
299,7,SANTA CRUZ,71503,EL PUENTE(STC),168,1,10,,179
300,8,BENI,80101,TRINIDAD,3746,19,16,,3781
301,8,BENI,80102,SAN JAVIER(BNI),34,,11,,45
302,8,BENI,80201,RIBERALTA,3415,28,40,2,3485
303,8,BENI,80202,GUAYARAMERIN,1441,18,7,,1466
304,8,BENI,80301,REYES,296,3,86,1,386
305,8,BENI,80302,SAN BORJA,863,16,133,,1012
306,8,BENI,80303,SANTA ROSA,269,2,29,,300
307,8,BENI,80304,RURRENABAQUE,559,5,28,,592
308,8,BENI,80401,SANTA ANA,457,2,27,,486
