id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
284;7;SANTA CRUZ;70903;MAIRANA                       ;204;0,54691689
285;7;SANTA CRUZ;70904;QUIRUSILLAS                   ;6;0,857142857
286;7;SANTA CRUZ;71001;MONTERO                       ;2468;0,633958387
287;7;SANTA CRUZ;71002;GENERAL SAAVEDRA              ;234;1,453416149
288;7;SANTA CRUZ;71003;MINEROS                       ;339;1,223826715
289;7;SANTA CRUZ;71004;FERNANDEZ ALONSO              ;238;1,220512821
290;7;SANTA CRUZ;71005;SAN PEDRO                     ;236;1,262032086
291;7;SANTA CRUZ;71101;CONCEPCION                    ;345;0,708418891
292;7;SANTA CRUZ;71102;SAN JAVIER(STC)               ;266;0,599099099
293;7;SANTA CRUZ;71103;SAN RAMON SCZ                 ;188;0,770491803
294;7;SANTA CRUZ;71104;SAN JULIAN                    ;754;0,645547945
295;7;SANTA CRUZ;71105;SAN ANTONIO DE LOMERIO        ;66;0,496240602
296;7;SANTA CRUZ;71106;CUATRO CAÑADAS                ;330;1,028037383
297;7;SANTA CRUZ;71201;SAN MATIAS                    ;325;1,045016077
298;7;SANTA CRUZ;71301;COMARAPA                      ;334;0,750561798
299;7;SANTA CRUZ;71302;SAIPINA                       ;84;1,024390244
300;7;SANTA CRUZ;71401;PUERTO SUAREZ                 ;303;0,461187215
301;7;SANTA CRUZ;71402;PUERTO QUIJARRO               ;496;1,467455621
302;7;SANTA CRUZ;71403;CARMEN RIVERO TORREZ          ;54;0,580645161
303;7;SANTA CRUZ;71501;ASCENCION DE GUARAYOS         ;563;0,575664622
304;7;SANTA CRUZ;71502;URUBICHA                      ;75;0,496688742
305;7;SANTA CRUZ;71503;EL PUENTE(STC)                ;189;1,145454545
306;8;BENI      ;80101;TRINIDAD                      ;2744;0,683660837
307;8;BENI      ;80102;SAN JAVIER(BNI)               ;37;0,822222222
308;8;BENI      ;80201;RIBERALTA                     ;3328;0,914713716
309;8;BENI      ;80202;GUAYARAMERIN                  ;1101;0,788294298
310;8;BENI      ;80301;REYES                         ;266;0,889276044
311;8;BENI      ;80302;SAN BORJA                     ;669;0,594049982
312;8;BENI      ;80303;SANTA ROSA                    ;112;0,466666667
313;8;BENI      ;80304;RURRENABAQUE                  ;472;0,861019218
