id,cod_dep,departamento,cod_mun,municipio,mujeres_con_4ta_consulta_ prenatal,cobertura
162,3,COCHABAMBA,31601,TIRAQUE (CBBA),300,"0,568135913"
163,3,COCHABAMBA,31602,SHINAOTA,530,"1,385814822"
164,4,ORURO,40101,ORURO,5783,"0,964991181"
165,4,ORURO,40102,CARACOLLO,246,"0,362373421"
166,4,ORURO,40103,EL CHORO,77,"0,263790728"
167,4,ORURO,40104,SORACACHI,93,"0,223713265"
168,4,ORURO,40201,CHALLAPATA,488,"0,865033785"
169,4,ORURO,40202,SANTUARIO DE QUILLACAS,49,"0,544760747"
170,4,ORURO,40301,CORQUE,64,"0,316687568"
171,4,ORURO,40302,CHOQUE COTA,12,"0,307085253"
172,4,ORURO,40401,CURAHUARA DE CARANGAS,75,"0,562387904"
173,4,ORURO,40402,TURCO,29,"0,372487889"
174,4,ORURO,40501,HUACHACALLA,10,"0,205920166"
175,4,ORURO,40502,ESCARA,4,"0,121697507"
176,4,ORURO,40503,CRUZ DE MACHACAMARCA,2,"0,029651717"
177,4,ORURO,40505,ESMERALDA,1,"0,022095328"
178,4,ORURO,40601,POOPO,68,"0,501695654"
179,4,ORURO,40602,PAZÑA,58,"0,730962819"
180,4,ORURO,40603,ANTEQUERA,56,"0,896202768"
181,4,ORURO,40701,HUANUNI,551,"1,286245727"
182,4,ORURO,40702,MACHACAMARCA,58,"0,746944399"
183,4,ORURO,40801,SALINAS DE GARCI MENDOZA,135,"0,543654001"
184,4,ORURO,40802,PAMPA AULLAGAS,25,"0,250250714"
185,4,ORURO,40901,SABAYA,26,"0,114119331"
186,4,ORURO,40902,COIPASA,11,"0,51849189"
187,4,ORURO,40903,CHIPAYA,22,"0,364948664"
188,4,ORURO,41001,TOLEDO,41,"0,170709862"
189,4,ORURO,41101,EUCALIPTUS,42,"0,331681959"
190,4,ORURO,41201,ANDAMARCA,30,"0,241736924"
191,4,ORURO,41202,BELEN DE ANDAMARCA,17,"0,428564854"
192,4,ORURO,41301,TOTORA(ORR),53,"0,512758062"
193,4,ORURO,41401,SANTIAGO DE HUARI,121,"0,542086609"
194,4,ORURO,41502,TODOS SANTOS,1,"0,107929923"
195,4,ORURO,41503,CARANGAS,1,"0,066043317"
196,4,ORURO,41601,HUAYLLAMARCA,42,"0,373291211"
197,5,POTOSI,50101,POTOSI,4290,"0,766429653"
198,5,POTOSI,50102,TINGUIPAYA,255,"0,245203879"
199,5,POTOSI,50103,YOCALLA,100,"0,365632161"
200,5,POTOSI,50104,BELEN DE URMIRI,12,"0,18666771"
201,5,POTOSI,50201,UNCIA,389,"0,676301679"
202,5,POTOSI,50202,CHAYANTA,235,"0,49453511"
203,5,POTOSI,50203,LLALLAGUA,879,"0,82706035"
204,5,POTOSI,50204,CHUQUIHUTA AYLLU JUCUMANI,115,"0,581349298"
205,5,POTOSI,50301,BETANZOS,379,"0,343754065"
206,5,POTOSI,50302,CHAQUI,98,"0,35308495"
207,5,POTOSI,50303,TACOBAMBA,73,"0,20792053"
208,5,POTOSI,50401,COLQUECHACA,415,"0,396527157"
209,5,POTOSI,50402,RAVELO,186,"0,320620877"
210,5,POTOSI,50403,POCOATA,337,"0,552800886"
211,5,POTOSI,50404,OCURI,228,"0,377987693"
