id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
235;6;TARIJA;60202;BERMEJO;420;249;19;688;0,726279355
236;6;TARIJA;60301;YACUIBA;1276;793;23;2092;0,58285173
237;6;TARIJA;60302;CARAPARI;109;;16;125;0,59642527
238;6;TARIJA;60303;VILLA MONTES;621;394;14;1029;1,52652555
239;6;TARIJA;60401;URIONDO (A. CONCEPCION);100;;4;104;0,362199808
240;6;TARIJA;60402;YUNCHARA;19;;48;67;0,548356983
241;6;TARIJA;60501;SAN LORENZO(TJA);88;;29;117;0,222643212
242;6;TARIJA;60502;EL PUENTE(TJA);121;;42;163;0,719170903
243;6;TARIJA;60601;ENTRE RIOS  TRJ;222;11;48;281;0,724421908
244;7;SANTA CRUZ;70101;SANTA CRUZ DE LA SIERRA;17584;17996;7;35587;0,695511033
245;7;SANTA CRUZ;70102;COTOCA;829;84;12;925;0,558095232
246;7;SANTA CRUZ;70103;PORONGO;56;;15;71;0,19552758
247;7;SANTA CRUZ;70104;LA GUARDIA;758;;14;772;0,396949336
248;7;SANTA CRUZ;70105;EL TORNO;615;132;23;770;0,467083826
249;7;SANTA CRUZ;70201;WARNES;1064;229;30;1323;1,009549951
250;7;SANTA CRUZ;70202;OKINAWA;140;;2;142;0,391423701
251;7;SANTA CRUZ;70301;SAN IGNACIO DE VELASCO;1225;432;87;1744;1,509990831
252;7;SANTA CRUZ;70302;SAN MIGUEL DE VELASCO;180;;26;206;0,799618843
253;7;SANTA CRUZ;70303;SAN RAFAEL;83;;7;90;0,546904197
254;7;SANTA CRUZ;70401;BUENA VISTA;122;;11;133;0,394385451
255;7;SANTA CRUZ;70402;SAN CARLOS;438;165;23;626;1,333636048
256;7;SANTA CRUZ;70403;YAPACANI;766;218;23;1007;0,99450437
257;7;SANTA CRUZ;70404;SAN JUAN DE YAPACANI;106;31;7;144;0,554426178
258;7;SANTA CRUZ;70501;SAN JOSE DE CHIQUITOS;325;134;4;463;1,311526434
259;7;SANTA CRUZ;70502;PAILON;401;27;24;452;0,382630813
260;7;SANTA CRUZ;70503;ROBORE;234;100;2;336;1,231983454
261;7;SANTA CRUZ;70601;PORTACHUELO;319;289;1;609;1,498431181
262;7;SANTA CRUZ;70602;SANTA ROSA DEL SARA;240;;30;270;0,601831773
263;7;SANTA CRUZ;70603;COLPA BELGICA;55;;;55;0,35396682
264;7;SANTA CRUZ;70701;LAGUNILLAS;69;;14;83;0,613333695
265;7;SANTA CRUZ;70702;CHARAGUA;502;142;48;692;1,061300719
266;7;SANTA CRUZ;70703;CABEZAS;267;;12;279;0,500976683
267;7;SANTA CRUZ;70704;CUEVO;22;;19;41;0,519382784
268;7;SANTA CRUZ;70705;GUTIERREZ;146;;82;228;0,777303962
269;7;SANTA CRUZ;70706;CAMIRI;535;475;10;1020;1,366778464
270;7;SANTA CRUZ;70707;BOYUIBE;62;;9;71;0,776731662
271;7;SANTA CRUZ;70801;VALLEGRANDE;226;184;2;412;1,047267104
272;7;SANTA CRUZ;70802;TRIGAL;12;;;12;0,182605671
273;7;SANTA CRUZ;70803;MORO MORO;33;;2;35;0,587056486
274;7;SANTA CRUZ;70804;POSTRER VALLE;9;;2;11;0,165484448
275;7;SANTA CRUZ;70805;PUCARA;11;;3;14;0,278545726
276;7;SANTA CRUZ;70901;SAMAIPATA;89;73;12;174;0,745996358
277;7;SANTA CRUZ;70902;PAMPA GRANDE;108;;5;113;0,499835999
278;7;SANTA CRUZ;70903;MAIRANA;179;119;3;301;1,467518794
279;7;SANTA CRUZ;70904;QUIRUSILLAS;12;;;12;0,214900135
280;7;SANTA CRUZ;71001;MONTERO;2024;1167;10;3201;1,200642705
281;7;SANTA CRUZ;71002;GENERAL SAAVEDRA;138;;15;153;0,28767677
282;7;SANTA CRUZ;71003;MINEROS;268;;7;275;0,474571706
283;7;SANTA CRUZ;71004;FERNANDEZ ALONSO;186;;2;188;0,566639673
284;7;SANTA CRUZ;71005;SAN PEDRO;201;;2;203;0,474764736
285;7;SANTA CRUZ;71101;CONCEPCION;377;87;12;476;1,064175235
286;7;SANTA CRUZ;71102;SAN JAVIER(STC);306;54;10;370;1,054493259
287;7;SANTA CRUZ;71103;SAN RAMON SCZ;246;23;;269;1,496794499
288;7;SANTA CRUZ;71104;SAN JULIAN;911;87;24;1022;0,874866171
289;7;SANTA CRUZ;71105;SAN ANTONIO DE LOMERIO;60;;43;103;0,527343973
290;7;SANTA CRUZ;71106;CUATRO CAÑADAS;223;;6;229;0,424177524
291;7;SANTA CRUZ;71201;SAN MATIAS;201;22;15;238;0,703592457
292;7;SANTA CRUZ;71301;COMARAPA;375;141;10;526;1,375724241
293;7;SANTA CRUZ;71302;SAIPINA;76;;;76;0,535797253
294;7;SANTA CRUZ;71401;PUERTO SUAREZ;335;243;6;584;1,427808711
295;7;SANTA CRUZ;71402;PUERTO QUIJARRO;219;57;7;283;0,558665478
296;7;SANTA CRUZ;71403;CARMEN RIVERO TORREZ;56;;4;60;0,455874315
297;7;SANTA CRUZ;71501;ASCENCION DE GUARAYOS;689;160;14;863;1,74050336
298;7;SANTA CRUZ;71502;URUBICHA;148;;3;151;1,008383005
299;7;SANTA CRUZ;71503;EL PUENTE(STC);169;;10;179;0,736803894
300;8;BENI;80101;TRINIDAD;2513;1224;16;3753;1,112040979
301;8;BENI;80102;SAN JAVIER(BNI);34;;11;45;0,486519094
302;8;BENI;80201;RIBERALTA;2528;909;42;3479;1,1254186
303;8;BENI;80202;GUAYARAMERIN;991;455;7;1453;1,001091188
304;8;BENI;80301;REYES;245;54;87;386;0,803170135
305;8;BENI;80302;SAN BORJA;584;293;133;1010;0,742005573
306;8;BENI;80303;SANTA ROSA;248;23;29;300;0,98479825
307;8;BENI;80304;RURRENABAQUE;421;139;27;587;1,067352039
308;8;BENI;80401;SANTA ANA;289;169;26;484;1,02486459
309;8;BENI;80402;EXALTACION;19;;8;27;0,077644486
310;8;BENI;80501;SAN IGNACIO;347;32;98;477;0,757277097
311;8;BENI;80601;LORETO;8;;20;28;0,323422152
312;8;BENI;80602;SAN ANDRES;89;;23;112;0,370040093
313;8;BENI;80701;SAN JOAQUIN;84;61;1;146;0,761185237
314;8;BENI;80702;SAN RAMON BENI;74;38;;112;0,595689071
315;8;BENI;80703;PUERTO SILES;15;;1;16;0,59867749
316;8;BENI;80801;MAGDALENA;185;64;51;300;0,972964563
317;8;BENI;80802;BAURES;69;16;10;95;0,737436651
318;8;BENI;80803;HUARACAJE;74;7;;81;0,865874739
319;9;PANDO ;90101;COBIJA;1079;702;33;1814;1,220673701
320;9;PANDO ;90102;PORVENIR;47;;14;61;0,423961148
321;9;PANDO ;90103;BOLPEBRA;;;5;5;0,119735541
322;9;PANDO ;90104;BELLA FLOR;10;;7;17;0,266155633
323;9;PANDO ;90201;PUERTO RICO;122;;20;142;1,024921687
324;9;PANDO ;90202;SAN PEDRO(PND);3;;4;7;0,278309929
325;9;PANDO ;90203;FILADELFIA;17;;41;58;0,51187931
326;9;PANDO ;90301;PUERTO GONZALO MORENO;59;;39;98;0,615818773
327;9;PANDO ;90302;SAN LORENZO(PND);79;;24;103;0,908995009
328;9;PANDO ;90303;SENA;62;;24;86;1,336932064
329;9;PANDO ;90401;NACEBE (SANTA ROSA DEL ABUNA);11;;7;18;0,218256697
330;9;PANDO ;90402;INGAVI (HUMAITA);12;;8;20;0,975227511
331;9;PANDO ;90501;NUEVO MANOA (NUEVA ESPERANZA);;;9;9;0,241392829
332;9;PANDO ;90502;VILLA NUEVA (LOMA ALTA);1;;18;19;0,503914133
333;9;PANDO ;90503;EUREKA (SANTOS MERCADO);;;19;19;0,989085227
