,departamento,municipio,establecimiento,direccion
200,POTOSI,LLALLAGUA,CAMANI,Sin registro
202,POTOSI,LLALLAGUA,CAPUNITA,Sin registro
203,POTOSI,LLALLAGUA,CATAVI,Sin registro
205,POTOSI,LLALLAGUA,OBRERA,Sin registro
206,POTOSI,LLALLAGUA,PUESTO DE SALUD JACHOJO,Sin registro
207,POTOSI,LLALLAGUA,SAUTA,Sin registro
208,POTOSI,LLALLAGUA,SIGLO XX,Sin registro
209,POTOSI,LLALLAGUA,UYUNI,Sin registro
210,POTOSI,LLICA,BELLA VISTA,Sin registro
211,POTOSI,LLICA,CHACOMA - POTOSI,chacoma
212,POTOSI,LLICA,HUANAQUE,HUANAQUE
213,POTOSI,LLICA,LLICA,Sin registro
214,POTOSI,LLICA,PALAYA,palaya
215,POTOSI,LLICA,SEJCIHUA,sejcihua
216,POTOSI,LLICA,TRES CRUCES,Sin registro
217,POTOSI,LLICA,VILLA AROMA,villa aroma
218,POTOSI,MOJINETE,CASA GRANDE,Casa Grande
219,POTOSI,MOJINETE,LA CIENEGA,LA CIENEGA
220,POTOSI,MOJINETE,MOJINETE,MOJINETE
221,POTOSI,OCURI,CKARA CKARA (OCURI),Comunidad Ckara Ckara
222,POTOSI,OCURI,CKARI MAYU,ckarimayu
223,POTOSI,OCURI,JUTHY,Juthy
224,POTOSI,OCURI,LUYUPAMPA,luyupampa
225,POTOSI,OCURI,MARAGUA,maragua
226,POTOSI,OCURI,MARCOMA,marcoma
227,POTOSI,OCURI,MILLUNI,milluni
228,POTOSI,OCURI,MURIFAYA,ocuri
229,POTOSI,OCURI,PUCALOMA,pucaloma
230,POTOSI,OCURI,ROCO ROCO,Comunidad rocoroco
231,POTOSI,OCURI,TAWA RREJA,tawareja
232,POTOSI,OCURI,YURIMATA,Yurimata
233,POTOSI,POCOATA,CAMPAYA,campaya
234,POTOSI,POCOATA,COLLANA TUICA,COLLANA TUICA
236,POTOSI,POCOATA,COLLPAKASA,"Collpak""asa"
237,POTOSI,POCOATA,HUANCARANI,COMUNIDAD HUANCARANI
238,POTOSI,POCOATA,LAHUATA,Lahuata
239,POTOSI,POCOATA,PACOTANCA,Pacotanca
240,POTOSI,POCOATA,PISAKA,COTA
241,POTOSI,POCOATA,QUESIMPUCO,QUESIMPUCO
243,POTOSI,POCOATA,SAN MIGUEL DE KHARI,Comunidad san miguel municipio pocoata
244,POTOSI,POCOATA,SANTA BARBARA,Zona 1 pocoata
245,POTOSI,POCOATA,SANTA MARIA TURBERIA,Comunidad Turberia
246,POTOSI,POCOATA,SARIJCHI,sarijchi
247,POTOSI,POCOATA,SUKI,comunidad de suki
248,POTOSI,POCOATA,TOLAPAMPA,Tolapampa
249,POTOSI,POCOATA,TOTORA,"LOC, TOTORA"
250,POTOSI,POCOATA,UREKA,ureka
251,POTOSI,POCOATA,VILLA ALCARAPI,Villa Alcarapi
253,POTOSI,POCOATA,VIRGEN DEL CARMEN TOMOYO,TOMOYO
254,POTOSI,POCOATA,YACUACO,YAHUACO
255,POTOSI,PORCO,AGUA DE CASTILLA,AGUA DE CATILLA
256,POTOSI,PORCO,CARMA,Comunidad Carma
257,POTOSI,PORCO,CHAQUILLA,Comunidad Chaquilla
258,POTOSI,PORCO,PORCO,Calle Roma s/n
260,POTOSI,POTOSI,AZANGARO,POTOSI-SUCRE
261,POTOSI,POTOSI,C.S. EMERGENCIA (SEDES),Sin registro
262,POTOSI,POTOSI,C.S. PENAL DE CANTUMARCA,Sin registro
263,POTOSI,POTOSI,CANTUMARCA,plaza CANTUMARCA
267,POTOSI,POTOSI,CERRO DE PLATA,Mina Pailaviri CERRO RICO DE POTOSI
268,POTOSI,POTOSI,CHAQUILLA ALTA,Sin registro
270,POTOSI,POTOSI,CHULLCHUCANI,Sin registro
271,POTOSI,POTOSI,HUARI HUARI,Huari Huari
272,POTOSI,POTOSI,LAS DELICIAS,Villa Montes s/n
274,POTOSI,POTOSI,PAILAVIRI,"Campamento Pailaviri, pabellón nº 87"
276,POTOSI,POTOSI,PARY ORKO,FINAL INTEGRACIÓN S/N-ZONA PARI ORCKO
277,POTOSI,POTOSI,PLAN 40,Calle Japón s/n
266,POTOSI,POTOSI,POTOSI,Sin registro
279,POTOSI,POTOSI,POTOSI,CALLE LINAREZ ESQUINA TOPATER S/N
280,POTOSI,POTOSI,SAGRADA FAMILIA,AVENIDA TUMUSLA S/N
281,POTOSI,POTOSI,SAN ANCELMO,AV. HUAYNAMAYU S/N
283,POTOSI,POTOSI,SAN BENITO,SANTIAGO
284,POTOSI,POTOSI,SAN CRISTOBAL,SAGARNAGA ESQ. CORTEZ
286,POTOSI,POTOSI,SAN GERARDO,Final Smith entre Casi esq. Calle Almagro
287,POTOSI,POTOSI,SAN PEDRO,CALLE COSTANERA ESQUINA TORREZ
288,POTOSI,POTOSI,SAN ROQUE,Sin registro
291,POTOSI,POTOSI,SANTIAGO DE OCKORURO,A 35 KILOMETROS DE LA CIUDAD DE POTOSI
292,POTOSI,POTOSI,TARAPAYA,Sin registro
294,POTOSI,POTOSI,VILLA COLON,Chaqui
295,POTOSI,POTOSI,VILLA MECANICOS,avenida libertad s/n
297,POTOSI,POTOSI,VILLA VENEZUELA,S/N
298,POTOSI,PUNA,ALCATUYO,ALCATUYO
299,POTOSI,PUNA,CAPAÑA,CAPAÑA
300,POTOSI,PUNA,CHINOLI,CHINOLI
301,POTOSI,PUNA,CRUZ PATA,Cruz Pata Pampa
302,POTOSI,PUNA,ESMERALDA ALTA,esmeralda alta s/n
304,POTOSI,PUNA,HUATINA,HUATINA
305,POTOSI,PUNA,KEPALLO,kepallo
306,POTOSI,PUNA,MICULPAYA,Miculpaya Plaza S/N
307,POTOSI,PUNA,MOJONA,Mojona
308,POTOSI,PUNA,NUQUI,Ñuqui
309,POTOSI,PUNA,OTAVI,OTAVI
310,POTOSI,PUNA,PACASI,PACASI
311,POTOSI,PUNA,PUNA,CALLE MATOS S/N
312,POTOSI,PUNA,SAN LORENZO - PUNA,SAN LORENZO
313,POTOSI,PUNA,SEPULTURAS - POTOSI,comunidad sepulturas
314,POTOSI,PUNA,SUQUICHA,SUQUICHA
315,POTOSI,PUNA,TOCLA (PUNA),TOCLA PUNA
316,POTOSI,PUNA,TOMOLA,COMUNIDAD TOMOLA
317,POTOSI,PUNA,TURQUIÑA,COMUNIDAD GUADALUPE
318,POTOSI,PUNA,VILACAYA,VILACAYA
319,POTOSI,PUNA,YASCAPI,YASCAPI
320,POTOSI,RAVELO,ANTORA,ANTORA
321,POTOSI,RAVELO,CUIRI TEJA MOLINO,CUIRI TEJA MOLINO
322,POTOSI,RAVELO,HUAYCOMA,HUAYCOMA
323,POTOSI,RAVELO,JANINA,JANINA ALTA
324,POTOSI,RAVELO,KUTURI,KUTURI
325,POTOSI,RAVELO,LACAYANI,LACAYANI
326,POTOSI,RAVELO,MOROTO,MOROTO
327,POTOSI,RAVELO,PITANTORA,PITANTORA
328,POTOSI,RAVELO,RODEO,RODEO
329,POTOSI,RAVELO,SAN MIGUEL DE RAVELO,RAVELO
330,POTOSI,RAVELO,SASANTA,SASANTA
331,POTOSI,RAVELO,SOROJCHI,SOROJCHI
332,POTOSI,RAVELO,TOMOYO,TOMOYO
333,POTOSI,RAVELO,TOROCA,toroca
334,POTOSI,RAVELO,YUCURI,YUCURI
335,POTOSI,RAVELO,YURUBAMBA,YURUBAMBA
338,POTOSI,SACACA,COLLOMA,Saunero
339,POTOSI,SACACA,HUARAYA,COM HUARAYA
340,POTOSI,SACACA,ITURATA,iturata
341,POTOSI,SACACA,JANKARACHI,Jankarachi
342,POTOSI,SACACA,JAYU JAYU,Sin registro
343,POTOSI,SACACA,LAYUPAMPA,Layupampa
344,POTOSI,SACACA,MALLCUCHAPI,mallcuchapi
345,POTOSI,SACACA,MALLKU QÂ´ OTA,mallkuqota
346,POTOSI,SACACA,PICHUYA,com pichuya
347,POTOSI,SACACA,SACACA,Calle Ingavi entre Tarija
348,POTOSI,SACACA,SAKANI,Sakani
349,POTOSI,SACACA,SILLU SILLU,Sillu sillu
350,POTOSI,SACACA,TARWUACHAPI,Tarhuachapi
351,POTOSI,SACACA,VILA VILA,VILA VILA
352,POTOSI,SACACA,VIRTOMA,virtoma
353,POTOSI,SAN AGUSTIN,ALOTA,ALOTA
354,POTOSI,SAN AGUSTIN,CERRO GORDO,Cerro Gordo
355,POTOSI,SAN AGUSTIN,SAN AGUSTIN,San Agustín
356,POTOSI,SAN AGUSTIN,TODO- SANTOS,Todo Santos
357,POTOSI,SAN ANTONIO DE ESMORUCO,GUADALUPE,nn
358,POTOSI,SAN ANTONIO DE ESMORUCO,RIO MOJON,Calle Avaroa
359,POTOSI,SAN ANTONIO DE ESMORUCO,RIO SECO,nn
360,POTOSI,SAN ANTONIO DE ESMORUCO,SAN ANTONIO DE ESMORUCO,nn
361,POTOSI,SAN PABLO DE LIPEZ,CERRILLOS,comunidad cerrillos
362,POTOSI,SAN PABLO DE LIPEZ,KOLLPANI,comunidad kollpani
363,POTOSI,SAN PABLO DE LIPEZ,POLULOS,COMUNIDAD POLULOS
364,POTOSI,SAN PABLO DE LIPEZ,QUETENA CHICO,COMUNIDAD QUETENA CHICO
365,POTOSI,SAN PABLO DE LIPEZ,QUETENA GRANDE,comunidad qetena grande
366,POTOSI,SAN PABLO DE LIPEZ,RELAVE,COMUNIDAD RELAVE
367,POTOSI,SAN PABLO DE LIPEZ,RIO SAN PABLO,comunidad rio san pablo
368,POTOSI,SAN PABLO DE LIPEZ,SAN ANTONIO DE LIPEZ,Sin registro
369,POTOSI,SAN PABLO DE LIPEZ,SAN PABLO DE LIPEZ,COMUNIDAD SAN PABLO DE LIPEZ
371,POTOSI,SAN PABLO DE LIPEZ,SANTA ISABEL,COMUNIDAD SANTA ISABEL
373,POTOSI,SAN PABLO DE LIPEZ,VILUYO,DE LIPEZ)
374,POTOSI,SAN PEDRO DE BUENA VISTA,ATACARI,Atacari
375,POTOSI,SAN PEDRO DE BUENA VISTA,CHIQUIPAMPA,chiquipampa
376,POTOSI,SAN PEDRO DE BUENA VISTA,CHIRIMIRA,Sin registro
377,POTOSI,SAN PEDRO DE BUENA VISTA,CHIRO KASA,chiro kasa
378,POTOSI,SAN PEDRO DE BUENA VISTA,COCHUBAMDURIRI,COCHUBAMDURIRI
379,POTOSI,SAN PEDRO DE BUENA VISTA,ESQUENCACHI,DISTRITO ESQUENCACHI
380,POTOSI,SAN PEDRO DE BUENA VISTA,IRPI IRPI,Sin registro
381,POTOSI,SAN PEDRO DE BUENA VISTA,MARTIN KALA,Durasnillo
382,POTOSI,SAN PEDRO DE BUENA VISTA,MICANI,Micani
383,POTOSI,SAN PEDRO DE BUENA VISTA,MOSCARI,Moscari
384,POTOSI,SAN PEDRO DE BUENA VISTA,PAIRUMANI,Sin registro
385,POTOSI,SAN PEDRO DE BUENA VISTA,QUINAMARA,Quinamara
386,POTOSI,SAN PEDRO DE BUENA VISTA,SAN MARCOS,Sin registro
388,POTOSI,SAN PEDRO DE BUENA VISTA,SAN PEDRO DE B.V.,General
389,POTOSI,SAN PEDRO DE BUENA VISTA,SURAGUA,Suragua
391,POTOSI,SAN PEDRO DE BUENA VISTA,TORACARI,Plazuela
392,POTOSI,SAN PEDRO DE QUEMES,SAN PEDRO DE QUEMES,CALLE AVAROA ESQUINA CALAMA
393,POTOSI,TACOBAMBA,CERCA CANCHA,Sin registro
394,POTOSI,TACOBAMBA,CHALLVIRI,CHALVIRI
395,POTOSI,TACOBAMBA,COLAVI,San Felipe de Colavi
396,POTOSI,TACOBAMBA,HUERTA MAYU,huerta mayo
397,POTOSI,TACOBAMBA,MIGMA,MIGMA
398,POTOSI,TACOBAMBA,RODEO,comunidad de Rodeo
399,POTOSI,TACOBAMBA,TACOBAMBA,Comunidad de Tacobamba
400,POTOSI,TACOBAMBA,TIRINA,COMUNIDAD DE TIRINA
401,POTOSI,TACOBAMBA,YAWACARI,Sin registro
402,POTOSI,TAHUA,CAQUENA,Comunidad Caquena
403,POTOSI,TAHUA,TAHUA,COMUNIDAD TAHUA
405,POTOSI,TAHUA,YONZA,comunidad yonza
406,POTOSI,TINGUIPAYA,ACTARA,Actara
407,POTOSI,TINGUIPAYA,ANCKARA,Anckara
408,POTOSI,TINGUIPAYA,ANTHURA,anthura
409,POTOSI,TINGUIPAYA,CAIMOMA - PIQUIRA,PIQUIRA
410,POTOSI,TINGUIPAYA,CALLPA PAMPA,callpapampa
411,POTOSI,TINGUIPAYA,CHALLAMAYU,CHALLAMAYU
412,POTOSI,TINGUIPAYA,CIENEGOMA,cienegoma
415,POTOSI,TINGUIPAYA,JAHUACAYA,JAHUCAYA
414,POTOSI,TINGUIPAYA,KELLU CANCHA,CKELLU CANCHA
416,POTOSI,TINGUIPAYA,MUITA,muita
417,POTOSI,TINGUIPAYA,P.S. PUKA PUNTA,PUCA PUNTA
418,POTOSI,TINGUIPAYA,PUJYU PAMPA,pujyupampa
419,POTOSI,TINGUIPAYA,SAYACA,sayaca
420,POTOSI,TINGUIPAYA,SIHUAYO,Sihuayo
421,POTOSI,TINGUIPAYA,TALULA,talula
422,POTOSI,TINGUIPAYA,TINGUIPAYA,TINGUIPAYA
423,POTOSI,TINGUIPAYA,TUISURI,Tuisuri
426,POTOSI,TOMAVE,C.S. YURA,calle Arce S/N
427,POTOSI,TOMAVE,CALAZAYA,Calazaya
428,POTOSI,TOMAVE,CARLOS MACHICADO,Carlos Machicao
429,POTOSI,TOMAVE,JACHIOCO,jachioco
430,POTOSI,TOMAVE,KORKA,korka
431,POTOSI,TOMAVE,OPOCO,Opoco
432,POTOSI,TOMAVE,PAJCHA,PAJCHA
433,POTOSI,TOMAVE,PELCA,Sin registro
