,departamento,municipio,establecimiento,direccion
171,SANTA CRUZ,GUTIERREZ,HEITI,HEITI S/N
172,SANTA CRUZ,GUTIERREZ,IPATIMIRI,COMUNIDAD IPATIMIRI
173,SANTA CRUZ,GUTIERREZ,IPITA,a una cuadra de la carretera a camiri
174,SANTA CRUZ,GUTIERREZ,IPITACITO,a 3 km de la carretera abapo-camiri
176,SANTA CRUZ,GUTIERREZ,ITEMBEGUAZU,montes
177,SANTA CRUZ,GUTIERREZ,IVAMIRAPINTA,IVAMIRAPINTA
178,SANTA CRUZ,GUTIERREZ,KAPIRENDA,COMUNIDAD KAPIRENDA
179,SANTA CRUZ,GUTIERREZ,KASAPA,KASAPA S/N
181,SANTA CRUZ,GUTIERREZ,PALMARITO,palmarito
182,SANTA CRUZ,GUTIERREZ,SAN MIGUEL DE POSITOS,COMUNIDAD DE SAN MIGUEL DE  POCITOS
184,SANTA CRUZ,GUTIERREZ,TATARENDA,tatarenda
185,SANTA CRUZ,LA GUARDIA,23 DE OCTUBRE,B./ 23 DE OCTUBRE KM 9
186,SANTA CRUZ,LA GUARDIA,BASILIO,CARRETERA CAMIRI KM 45
187,SANTA CRUZ,LA GUARDIA,EL CARMEN KM.9,av. santa cruz 226
188,SANTA CRUZ,LA GUARDIA,PEDRO LORENZO,CARRETERA A CAMIRI KM 24
189,SANTA CRUZ,LA GUARDIA,ROMULO GOMEZ,B./ 3 DE MAYO C./ NACION URQUIDI ESQ. PARI
190,SANTA CRUZ,LA GUARDIA,SAN JOSE,SAN JOSE KM 25 DOBLE VIA LA GUARDIA
191,SANTA CRUZ,LA GUARDIA,SAN MIGUEL DEL ROSARIO,SAN MIGUEL DEL ROSARIO
192,SANTA CRUZ,LA GUARDIA,SAN SILVESTRE,KM 15 B./ CUMBRE DE LAS AMERICAS
193,SANTA CRUZ,LA GUARDIA,SANTA TERESA,B./ NUEVA ESPERANZA KM 12
194,SANTA CRUZ,LA GUARDIA,VILLA ARRIEN,PEJI KM 28
196,SANTA CRUZ,LAGUNILLAS,IGUASURENDA,Iguasurenda
