,departamento,municipio,establecimiento,direccion
143,CHUQUISACA,MONTEAGUDO,ROLDANA,roldana
144,CHUQUISACA,MONTEAGUDO,SAN JUAN BAUTISTA,SAN JUAN DEL PIRAY
145,CHUQUISACA,MONTEAGUDO,SAN LORENZO,COMUNIDAD SAN LORENZO
146,CHUQUISACA,MONTEAGUDO,SAN MIGUEL DEL BA?ADO,SAN MIGUEL DEL BA?ADO
147,CHUQUISACA,MONTEAGUDO,VALLE NUEVO,VALLENUEVO
148,CHUQUISACA,PADILLA,COREY,Comunidad Corey
149,CHUQUISACA,PADILLA,EL LLANTOJ,Comunidad de Llantoj
150,CHUQUISACA,PADILLA,EL ROSAL,El Rosal
151,CHUQUISACA,PADILLA,LAMPACILLOS,Comunidad Lampacillos
152,CHUQUISACA,PADILLA,TABACAL,Comunidad Tabacal
153,CHUQUISACA,PADILLA,TIHUMAYU,Tihumayu
154,CHUQUISACA,POROMA,C.S.A. YANANI,YANANI
155,CHUQUISACA,POROMA,CALISAYA,calizaya
156,CHUQUISACA,POROMA,CHALLCHA,challcha
157,CHUQUISACA,POROMA,CHIJMURI,chijmuri
158,CHUQUISACA,POROMA,COPAVILQUE,Copavillque-Poroma
159,CHUQUISACA,POROMA,CUCURI,CUCURI
160,CHUQUISACA,POROMA,EL AJIAL,poroma
161,CHUQUISACA,POROMA,IROCOTA,Irocota
162,CHUQUISACA,POROMA,KAINACAS,kainacas
163,CHUQUISACA,POROMA,LA PALCA (CHQ-POROMA),La palca
164,CHUQUISACA,POROMA,LUJE,LUJE
165,CHUQUISACA,POROMA,P.S. PIOCERA,PIOCERA
166,CHUQUISACA,POROMA,PALAJLA,palajla
168,CHUQUISACA,POROMA,POJPO,pojpo
169,CHUQUISACA,POROMA,POMANAZA,Pomanaza
170,CHUQUISACA,POROMA,SAN JUAN DE ORCAS,SAN JUAN DE ORCAS
171,CHUQUISACA,POROMA,SAPSE,SAPSE
172,CHUQUISACA,POROMA,SIJCHA BAJA,Sijcha baja
173,CHUQUISACA,POROMA,SOICOCO,poroma
174,CHUQUISACA,POROMA,THOLAPAMPA,tholapampa
175,CHUQUISACA,POROMA,VIRGEN DEL ROSARIO,Localidad de Poroma
176,CHUQUISACA,POROMA,VIRU VIRU,viruviru
177,CHUQUISACA,PRESTO,EL PALMAR,EL PALMAR
178,CHUQUISACA,PRESTO,MOLANI,molani
179,CHUQUISACA,PRESTO,PASOPAYA (PRESTO),pasopaya
180,CHUQUISACA,PRESTO,PUNO KASA,puno kasa
181,CHUQUISACA,PRESTO,RODEO EL PALMAR,rodeo el palmar
182,CHUQUISACA,PRESTO,SAN ISIDRO DE TOMOROCO,TOMOROCO
183,CHUQUISACA,PRESTO,SANTIAGO DE PRESTO,Avenida Eduardo avaroa
184,CHUQUISACA,PRESTO,VIRGEN DEL ROSARIO,HUAYLLA PAMPA ALTO
185,CHUQUISACA,SAN LUCAS,ACCHILLA,ACCHILLA
186,CHUQUISACA,SAN LUCAS,BUENA VISTA,buena vista
187,CHUQUISACA,SAN LUCAS,CANCHAS BLANCAS,CANCHAS
188,CHUQUISACA,SAN LUCAS,CHAUPI COCHA,CHAUPI COCHA
189,CHUQUISACA,SAN LUCAS,CHILLAGUA,CHILLAGUA
190,CHUQUISACA,SAN LUCAS,CHINIMAYU,chinimayu
191,CHUQUISACA,SAN LUCAS,CHUNCHO,CHUNCHO
192,CHUQUISACA,SAN LUCAS,COLLPA,San Lucas collpa
193,CHUQUISACA,SAN LUCAS,CRUZ MAYU,CRUZ MAYU
194,CHUQUISACA,SAN LUCAS,HUANUMILLA,HUA?UMILLA
195,CHUQUISACA,SAN LUCAS,HUAYLLANI,HUAYLLANI - SAN LUCAS
196,CHUQUISACA,SAN LUCAS,LA PALCA (CHQ SAN LUCAS),La palca
197,CHUQUISACA,SAN LUCAS,LARAVINTO,comunidad laravinto
198,CHUQUISACA,SAN LUCAS,MALLIRI,MALLIRI
199,CHUQUISACA,SAN LUCAS,MURIFAYA,Comunidad Murifaya
200,CHUQUISACA,SAN LUCAS,OCURI,OCURI CALLE S/N
202,CHUQUISACA,SAN LUCAS,PADCOYO,AV. LIBERTADORES
203,CHUQUISACA,SAN LUCAS,PALACIO TAMBO,calle oruro
204,CHUQUISACA,SAN LUCAS,PAYACOTA DEL CARMEN,payacota del carmen
205,CHUQUISACA,SAN LUCAS,PAZLA,Comunidad Pazla
206,CHUQUISACA,SAN LUCAS,PIRHUANI,Pirhuani
207,CHUQUISACA,SAN LUCAS,PUTUTACA,PUTUTACA
208,CHUQUISACA,SAN LUCAS,SACAVILLQUE CHICO,sacvillque chico
209,CHUQUISACA,SAN LUCAS,SACAVILQUE GRANDE,SACAVILLQUE GRANDE
210,CHUQUISACA,SAN LUCAS,SAN LUCAS,AV. MARISCAL SUCRE S/N
211,CHUQUISACA,SAN LUCAS,SAN PEDRO DE HUANAYA KASA,San Pedro de Huanaya
212,CHUQUISACA,SAN LUCAS,TAMBO KASA,TAMBO KASA
213,CHUQUISACA,SAN LUCAS,TORRE DE LINARES,TORRE DE LINARES
214,CHUQUISACA,SAN LUCAS,URUCHINI,URUCHINI
215,CHUQUISACA,SOPACHUY,AMANCAYA,Amancaya
216,CHUQUISACA,SOPACHUY,MAMA HUASI,MAMA HUASI
217,CHUQUISACA,SOPACHUY,PAMPAS DEL CARMEN,PAMPAS DEL CARMEN
218,CHUQUISACA,SOPACHUY,SIPICANI,SIPICANI
219,CHUQUISACA,SOPACHUY,VIRGEN DE REMEDIOS SOPACHUY,PLAZA GUERRILLERO CUETO S/N
220,CHUQUISACA,SUCRE,ALEGRIA,Barrio alegria
221,CHUQUISACA,SUCRE,ALEMANIA UNIDA (M),BARRIO ALEMANIA UNIDA
222,CHUQUISACA,SUCRE,ALTO DELICIAS (M),RAUL ROMERO LINARES S/N
223,CHUQUISACA,SUCRE,ALTO FLORIDA (M),ALTO  FLORIDA
224,CHUQUISACA,SUCRE,ALTO LOYOLA,Calle San Ramon s/n Esq. Robore
225,CHUQUISACA,SUCRE,ALTO SAN JUANILLO,PLAZUELA 25 DE MAYO S/N
226,CHUQUISACA,SUCRE,AMAZONAS (M),ARAGON S/N
227,CHUQUISACA,SUCRE,ARABATE,comunidad arabate
228,CHUQUISACA,SUCRE,BARRIO JAPON,CALLE NAGOYA S/N
229,CHUQUISACA,SUCRE,BARRIO LINDO (M),CALLE SEVILLA S/N ZONA BARRIO LINDO
230,CHUQUISACA,SUCRE,BARRIO OBRERO (M),Nataniel Aguirre # 620
231,CHUQUISACA,SUCRE,BELEN,BARRIO BELEN ZONA KARAPUNKU
232,CHUQUISACA,SUCRE,C.S. EL PALMAR,BARRIO AMERICA
233,CHUQUISACA,SUCRE,CANTU MOLINO,Comunidad de Cantu Molino
234,CHUQUISACA,SUCRE,CAPITAL  (M),BARRIO CAPITAL S/N
236,CHUQUISACA,SUCRE,CARCEL PUBLICA,CALLE BOLIVAR# 992
237,CHUQUISACA,SUCRE,CASEGURAL,avenida los andes sin numero
238,CHUQUISACA,SUCRE,CENTRAL,OLA?ETA # 98 PLAZA ZUDA?ES
239,CHUQUISACA,SUCRE,CESSA  (M),BARRIO CESSA S/N PARA FINAL LINEA 6
240,CHUQUISACA,SUCRE,CHAUNACA,CHAUNACA
241,CHUQUISACA,SUCRE,CHUQUI CHUQUI,Comunidad de Chuqui-Chuqui
242,CHUQUISACA,SUCRE,CKACHA-CKACHA,Ckacha Ckcha
243,CHUQUISACA,SUCRE,CRISTO REY DE POTOLO,potolo
244,CHUQUISACA,SUCRE,CRUCE AZARI,CRUCE AZARI
245,CHUQUISACA,SUCRE,EL CHACO,Comunidad El Chaco
246,CHUQUISACA,SUCRE,EL ROLLO,Avda. 6 de Agosto Esq. Melcho Perez
247,CHUQUISACA,SUCRE,ENDE,zona  Santa  Rosa ende (planta  de  Huaracachi)
248,CHUQUISACA,SUCRE,ESTADOS UNIDOS,Barrio Estados Unidos
249,CHUQUISACA,SUCRE,GARCILAZO BAJO,AV.2001  UNA CUADRA DE VILLA BOLIVARIANA
250,CHUQUISACA,SUCRE,HOGAR SUCRE,DALENCE 759
251,CHUQUISACA,SUCRE,HOLANDA,Barrio Santo Domingo
252,CHUQUISACA,SUCRE,HORNO CKASA (M),BARRIO HORNO KASA
253,CHUQUISACA,SUCRE,HUANCA PAMPA,huancapampa
