,departamento,municipio,establecimiento,direccion
222,TARIJA,VILLA MONTES,PALMAR GRANDE,Frente a la plaza principal de Palmar Grande
224,TARIJA,VILLA MONTES,PUESTO GARCIA,a 200metros de la iglesia sobre el camino pricipal
225,TARIJA,VILLA MONTES,RESISTENCIA,Al lado de la escuela Jose Manuel Pando
226,TARIJA,VILLA MONTES,SAN ANTONIO,Antonio
228,TARIJA,VILLA MONTES,TAHIGUATY,A lado de la Unidad Educativa 27 de Mayo
229,TARIJA,VILLA MONTES,TARAIRI,comunidad de tarairi
230,TARIJA,VILLA MONTES,TIGUIPA,Comunidad Tiguipa Estacion
231,TARIJA,VILLA MONTES,TREZ POZOS,comunidad tres pozos
232,TARIJA,VILLA MONTES,VICTORIA,comunidad
233,TARIJA,VILLA MONTES,VIRGEN DE LOS REMEDIOS,CALLE TOLEDO ENTRE MENDEZ ARCOS Y SBTE BARRAU
234,TARIJA,YACUIBA,BARRIO NUEVO,Calle Aguayrenda final Chiquiaca
235,TARIJA,YACUIBA,C.S EL PALMAR,CRUZ
236,TARIJA,YACUIBA,CAIZA,de Caiza Estacion
237,TARIJA,YACUIBA,CAMPO GRANDE,Com. Campo Grande detras de la U.E. CAMPO GRANDE B
238,TARIJA,YACUIBA,CAMPO PAJOSO,comunidad campo pajoso
240,TARIJA,YACUIBA,CREVAUX,Comunidad de Crevaux
241,TARIJA,YACUIBA,DORBIGNY,dorbigny a lado de la unidad educativa
242,TARIJA,YACUIBA,EL BAGUAL,sobre la carretera caiza - crevaux
243,TARIJA,YACUIBA,EL JARDIN,CALLE UYUNI ENTRE BOYUIBE Y MACHARETI
244,TARIJA,YACUIBA,EL PORVENIR,4
245,TARIJA,YACUIBA,EL PRADO,Av. Las Americas e/ calle venezuela y Av. San Geronimo
246,TARIJA,YACUIBA,LAS DELICIAS,JACINTO DELFIN
248,TARIJA,YACUIBA,PALMAR GRANDE YACUIBA,escuela)
249,TARIJA,YACUIBA,POCITOS,calle chuquisaca entre oruro y peatonal potosi
239,TARIJA,YACUIBA,RED YACUIBA,Sin registro
250,TARIJA,YACUIBA,SACHAPERA,comunidad sachapera
251,TARIJA,YACUIBA,SAN JERONIMO,Soruco Ortiz y C. Cnl. Eulogio Ruiz
252,TARIJA,YACUIBA,SAN JOSE OBRERO,TAMAYO
253,TARIJA,YACUIBA,SAN PEDRO,Calle San Pedro entre Calle Santa Cruz y Calle Comercio
254,TARIJA,YACUIBA,SANANDITA,parque central
255,TARIJA,YACUIBA,SUNCHAL,Comunidad Sunchal
256,TARIJA,YACUIBA,TIERRAS NUEVAS,TIERRAS NUEVAS
257,TARIJA,YACUIBA,TIMBOY,comunidad  timboy
258,TARIJA,YACUIBA,VILLA EL CARMEN,Barrio Santa Rosa
259,TARIJA,YACUIBA,YAGUACUA,Comunidad de Yaguacua a lado de la capilla San Isidro
260,TARIJA,YUNCHARA,BELEN (YUNCHARA),comunidad belen lado de escuela
261,TARIJA,YUNCHARA,HUAYLLAJARA,COMUNIDAD DE HUAYLLAJARA
262,TARIJA,YUNCHARA,PAPACHACRA FRONTERA,COMUNIDAD PAPACHACRA
263,TARIJA,YUNCHARA,PASAJES,COMUNIDAD PASAJES AL LADO DE LA ESCUELA
264,TARIJA,YUNCHARA,SANTA BARBARA DE NOQUERA,EDUCATIVA
265,TARIJA,YUNCHARA,TOJO,"comunidad tojo,al lado de la escuela de tojo"
266,TARIJA,YUNCHARA,YUNCHARA,CALLE S/N A 2 CUADRAS DE LA PLAZA PRINCIPAL
