id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
151;3;COCHABAMBA;31205;PUERTO VILLARROEL;43384;38793;82177;6,886627862;0,897164187;1,658823667
152;3;COCHABAMBA;31206;ENTRE RIOS CBBA;23386;14164;37550;5,562838923;0,483154402;1,120238463
153;3;COCHABAMBA;31301;MIZQUE;12907;7282;20189;3,198205994;0,296903684;0,706843993
154;3;COCHABAMBA;31302;VILA VILA;1976;1552;3528;2,301377221;0,314387061;0,608779024
155;3;COCHABAMBA;31303;ALALAY;882;1153;2035;1,877598325;0,361374566;0,55595862
156;3;COCHABAMBA;31401;PUNATA;13423;21371;34794;4,442614443;0,773461084;1,135138419
157;3;COCHABAMBA;31402;VILLA RIVERO;4907;4761;9668;4,904109931;0,623521486;1,119467048
158;3;COCHABAMBA;31403;SAN BENITO;4621;6402;11023;3,267217595;0,493229805;0,765799653
159;3;COCHABAMBA;31404;TACACHI;490;1298;1788;4,059326716;1,028402923;1,292971704
160;3;COCHABAMBA;31405;CUCHUMUELA (V. G. VILLARROEL);449;1659;2108;1,382636316;0,635100507;0,717757051
161;3;COCHABAMBA;31501;BOLIVAR;2909;2824;5733;3,317797141;0,411907155;0,741396877
162;3;COCHABAMBA;31601;TIRAQUE (CBBA);6613;9492;16105;2,378494325;0,48040196;0,714546081
163;3;COCHABAMBA;31602;SHINAOTA;17856;16047;33903;6,312212807;0,830726837;1,530912136
164;4;ORURO;40101;ORURO;151129;426570;577699;4,600497623;1,717637615;2,054424454
165;4;ORURO;40102;CARACOLLO;9658;13773;23431;3,50550325;0,632222887;0,954803217
166;4;ORURO;40103;EL CHORO;1997;3042;5039;2,049964035;0,367056394;0,54406751
167;4;ORURO;40104;SORACACHI;4147;4447;8594;2,872411065;0,364526794;0,629914914
168;4;ORURO;40201;CHALLAPATA;11209;20044;31253;3,111032297;0,757603324;1,039683784
169;4;ORURO;40202;SANTUARIO DE QUILLACAS;1536;2388;3924;3,093907083;0,627188931;0,911725968
170;4;ORURO;40301;CORQUE;2704;5553;8257;2,596452384;0,634272232;0,84286608
171;4;ORURO;40302;CHOQUE COTA;302;1059;1361;1,513681293;0,59986536;0,692652677
172;4;ORURO;40401;CURAHUARA DE CARANGAS;1656;2818;4474;3,794144645;0,702975945;1,006493836
173;4;ORURO;40402;TURCO;1499;3292;4791;2,591203196;0,664852775;0,866370311
174;4;ORURO;40501;HUACHACALLA;424;2186;2610;4,475339376;2,245341983;2,443105389
175;4;ORURO;40502;ESCARA;133;645;778;0,259151006;0,162403962;0,173475147
176;4;ORURO;40503;CRUZ DE MACHACAMARCA;54;384;438;0,197067223;0,211633959;0,209722729
177;4;ORURO;40504;YUNGUYO DE LITORAL;43;72;115;0,753364093;0,147275169;0,210638876
178;4;ORURO;40505;ESMERALDA;91;808;899;0,216565097;0,329955223;0,313348059
179;4;ORURO;40601;POOPO;2089;5986;8075;2,580500268;0,825898169;1,002184347
180;4;ORURO;40602;PAZÑA;2285;5877;8162;3,124372113;1,050945631;1,29075037
181;4;ORURO;40603;ANTEQUERA;1000;2711;3711;2,30267088;0,894003971;1,070469454
182;4;ORURO;40701;HUANUNI;12399;55456;67855;3,714833163;2,424368008;2,588688436
183;4;ORURO;40702;MACHACAMARCA;1183;5085;6268;2,018200601;1,122367594;1,224992279
